Title,URL,Summary,Published Date,Source,Author
Cracks are forming in Meta’s partnership with Scale AI,https://techcrunch.com/2025/08/29/cracks-are-forming-in-metas-partnership-with-scale-ai/,,2025-08-30 14:51:51,techcrunch.com,Maxwell ZeffMarina Temkin
Spotlight on AI at TechCrunch Disrupt: Don’t miss these sessions backed by JetBrains and Greenfield,https://techcrunch.com/2025/08/29/spotlight-on-ai-at-techcrunch-disrupt-dont-miss-these-sessions-backed-by-jetbrains-and-greenfield/,,2025-08-30 14:51:51,techcrunch.com,Cindy Zackney
TikTok now lets users send voice notes and images in DMs,https://techcrunch.com/2025/08/29/tiktok-now-lets-users-send-voice-notes-and-images-in-dms/,,2025-08-30 14:51:51,techcrunch.com,Aisha Malik
Uber and Lyft drivers in California win a path to unionization,https://techcrunch.com/2025/08/29/uber-and-lyft-drivers-in-california-win-a-path-to-unionization/,,2025-08-30 14:51:51,techcrunch.com,Rebecca Bellan
Tesla challenges $243 million verdict in Autopilot death trial,https://techcrunch.com/2025/08/29/tesla-challenges-243-million-verdict-in-autopilot-death-trial/,,2025-08-30 14:51:51,techcrunch.com,Sean O'Kane
Verge Deals,https://www.theverge.com/2024/9/20/24249294/verge-deals-newsletter-subscribe-tech-discounts,,2025-08-30 14:52:02,theverge.com,
Miami,https://www.theverge.com/2024/12/5/24313346/waymo-miami-robotaxi-moove-2026,,2025-08-30 14:52:02,theverge.com,
even Japan,https://www.theverge.com/2024/12/16/24322769/waymo-japan-robotaxi-test-nihon-kotsu-go,,2025-08-30 14:52:02,theverge.com,
Most Recent,https://www.wired.com/most-recent/,,2025-08-30 14:52:20,wired.com,
Subscriber Exclusives,https://www.wired.com/v2/offers/wir_edit_hardcoded?source=Site_0_HCL_WIR_EDIT_HARDCODED_HOMEPAGE_MODULE_0_GLOBAL_JULY_2025_NEW_OFFER_ZZ,,2025-08-30 14:52:20,wired.com,
WIRED Classics,https://www.wired.com/newsletter/classics,,2025-08-30 14:52:20,wired.com,
Google Pixel 10 series review: Don’t call it an Android,https://arstechnica.com/gadgets/2025/08/google-pixel-10-series-review-dont-call-it-an-android/,"Google's new Pixel phones are better, but only a little.",2025-08-30 14:52:59,arstechnica.com,
The fight against labeling long-term streaming rentals as “purchases” you “buy”,https://arstechnica.com/gadgets/2025/08/i-like-plaintiffs-chances-prime-video-back-in-court-over-using-the-word-buy/,New law emboldens complaints against digital content rentals labled as purchases.,2025-08-30 14:52:59,arstechnica.com,
CDC spiraled into chaos this week. Here’s where things stand.,https://arstechnica.com/health/2025/08/cdc-spiraled-into-chaos-this-week-heres-where-things-stand/,"CDC is in crisis amid an ouster, resignations, defiance, and outraged lawmakers.",2025-08-30 14:52:59,arstechnica.com,
"With new in-house models, Microsoft lays the groundwork for independence from OpenAI",https://arstechnica.com/ai/2025/08/with-new-in-house-models-microsoft-lays-the-groundwork-for-independence-from-openai/,"Microsoft is still deeply tied to OpenAI, but who knows what the future holds.",2025-08-30 14:52:59,arstechnica.com,
Windows 11 25H2 update hits its last stop before release to the general public,https://arstechnica.com/gadgets/2025/08/windows-11-25h2-update-hits-its-last-stop-before-release-to-the-general-public/,"The 25H2 update will be a quiet one, after 24H2's under-the-hood overhauls.",2025-08-30 14:52:59,arstechnica.com,
