Title,URL,Summary,Published Date,Source,Author
SpaceX notches major wins during tenth Starship test,https://techcrunch.com/2025/08/26/spacex-notches-major-wins-during-tenth-starship-test/,,2025-08-27 10:55:16,techcrunch.com,Aria Alamalhodaei
"Assort Health nabs $50M to automate patient phone calls, sources say",https://techcrunch.com/2025/08/26/assort-health-nabs-50m-to-automate-patient-phone-calls-sources-say/,,2025-08-27 10:55:16,techcrunch.com,Marina Temkin
Verily is closing its medical device program as Alphabet shifts more resources to AI,https://techcrunch.com/2025/08/26/verily-is-closing-its-medical-device-program-as-alphabet-shifts-more-resources-to-ai/,,2025-08-27 10:55:16,techcrunch.com,Connie Loizos
Microsoft headquarters go into lockdown after activists take over Brad Smith’s office,https://techcrunch.com/2025/08/26/microsoft-headquarters-go-into-lockdown-after-activists-take-over-brad-smiths-office/,,2025-08-27 10:55:16,techcrunch.com,Connie Loizos
Anthropic launches a Claude AI agent that lives in Chrome,https://techcrunch.com/2025/08/26/anthropic-launches-a-claude-ai-agent-that-lives-in-chrome/,,2025-08-27 10:55:16,techcrunch.com,Maxwell Zeff
"Whales are dying, but it’s not because of wind farms",https://www.theverge.com/2023/5/11/23718523/whale-beachings-east-coast-offshore-wind-shipping,"There’s plenty of disinformation trying toblame the nascent offshore wind industry for whale deathswithout evidence. Not only is that misleading, it also takes the focus away from solutions that might...",2025-08-27 10:55:20,theverge.com,
Most Recent,https://www.wired.com/most-recent/,,2025-08-27 10:55:25,wired.com,
Subscriber Exclusives,https://www.wired.com/v2/offers/wir_edit_hardcoded?source=Site_0_HCL_WIR_EDIT_HARDCODED_HOMEPAGE_MODULE_0_GLOBAL_JULY_2025_NEW_OFFER_ZZ,,2025-08-27 10:55:25,wired.com,
WIRED Classics,https://www.wired.com/newsletter/classics,,2025-08-27 10:55:25,wired.com,
"With AI chatbots, Big Tech is moving fast and breaking people",https://arstechnica.com/information-technology/2025/08/with-ai-chatbots-big-tech-is-moving-fast-and-breaking-people/,Why AI chatbots validate grandiose fantasies about revolutionary discoveries that don't exist.,2025-08-27 10:55:31,arstechnica.com,
Authors celebrate “historic” settlement coming soon in Anthropic class action,https://arstechnica.com/tech-policy/2025/08/authors-celebrate-historic-settlement-coming-soon-in-anthropic-class-action/,"Advocates fear such settlements will ""financially ruin"" the AI industry.",2025-08-27 10:55:31,arstechnica.com,
OpenAI admits ChatGPT safeguards fail during extended conversations,https://arstechnica.com/information-technology/2025/08/after-teen-suicide-openai-claims-it-is-helping-people-when-they-need-it-most/,ChatGPT allegedly provided suicide encouragement to teen after moderation safeguards failed.,2025-08-27 10:55:31,arstechnica.com,
US‘s spike in electricity use is slowing down a bit,https://arstechnica.com/science/2025/08/us-electricity-2025-solar-continues-growth-coal-still-up/,Half of a year of data shows that the solar boom is not slowing down.,2025-08-27 10:55:31,arstechnica.com,
DOGE accused of copying entire Social Security database to insecure cloud system,https://arstechnica.com/tech-policy/2025/08/doge-accused-of-copying-entire-social-security-database-to-insecure-cloud-system/,"Live copy of NUMIDENT ""lacks any security oversight,"" whistleblower alleges.",2025-08-27 10:55:31,arstechnica.com,
Everything announced at Made by Google 2025,https://www.zdnet.com/article/everything-announced-at-made-by-google-2025-pixel-10-pro-fold-watch-4-and-more/,,2025-08-27 10:55:46,zdnet.com,
5 AI Features on the Pixel 10 that Google thinks will win you over,https://www.zdnet.com/article/5-ai-features-on-the-pixel-10-that-google-thinks-will-win-you-over-including-the-fold/,,2025-08-27 10:55:46,zdnet.com,
Google Pixel 10 Pro vs. every older model,https://www.zdnet.com/article/should-you-upgrade-to-pixel-10-pro-heres-how-it-compares-to-older-google-flagships/,,2025-08-27 10:55:46,zdnet.com,
Google Pixel 10 Pro vs. iPhone 16 Pro,https://www.zdnet.com/article/google-pixel-10-pro-vs-iphone-16-pro-ive-tried-both-handsets-and-its-pretty-dang-close/,,2025-08-27 10:55:46,zdnet.com,
Google Pixel Watch 4 vs. Apple Watch Series 10,https://www.zdnet.com/article/pixel-watch-4-vs-apple-watch-series-10-i-tested-both-and-heres-how-google-wins/,,2025-08-27 10:55:46,zdnet.com,
The Hot Crazy Matrix explains why investors get tech deals wrong,https://thenextweb.com/news/hot-crazy-matrix-investors-tech-startups,,2025-08-27 10:55:51,thenextweb.com,
Vibe coding is transforming software. Enterprise is the next frontier,https://thenextweb.com/news/how-vibe-coding-will-transform-enterprise,,2025-08-27 10:55:51,thenextweb.com,
European space tech has data to sell — but where are the buyers?,https://thenextweb.com/news/europe-space-tech-data-buyers,,2025-08-27 10:55:51,thenextweb.com,
Swedish startup unveils Starlink alternative — that Musk can’t switch off,https://thenextweb.com/news/swedish-starlink-alternative-ru1-military-communications,,2025-08-27 10:55:51,thenextweb.com,
1:12 AMGrok’s Tips On How to Assassinate Elon Musk Are One More Red Flag For Wall StreetRiley Gutiérrez McDermid,https://gizmodo.com/grok-assassinate-elon-musk-2000648719,Riley Gutiérrez McDermid,2025-08-27 10:55:58,gizmodo.com,
12:24 am‘It’s Not Going to Slow Down’: Nvidia’s Big Day Arrives With Earnings After Closing BellRiley Gutiérrez McDermid,https://gizmodo.com/nvidia-earnings-tech-drop-2000647269,Riley Gutiérrez McDermid,2025-08-27 10:55:58,gizmodo.com,
"Aug 26Starship Nails 10th Test Flight, Putting SpaceX Back on TrackGeorge Dvorsky",https://gizmodo.com/starship-nails-10th-test-flight-putting-spacex-back-on-track-2000648673,George Dvorsky,2025-08-27 10:55:58,gizmodo.com,
Aug 26‘Hazbin Hotel’ Plans to Raise Sing-Along Hell at a Movie Theater Near YouSabina Graves,https://gizmodo.com/hazbin-hotel-plans-to-raise-sing-along-hell-at-a-movie-theater-near-you-2000648640,Sabina Graves,2025-08-27 10:55:58,gizmodo.com,
"Aug 26The White House Is Going to Put Government Statistics on the Blockchain (Yeah, We Don’t Know Why Either)Matt Novak",https://gizmodo.com/the-white-house-is-going-to-put-government-statistics-on-the-blockchain-yeah-we-dont-know-why-either-2000648428,Matt Novak,2025-08-27 10:55:58,gizmodo.com,
Here Are the 5 Best VPNs in 2025,https://www.cnet.com/tech/services-and-software/best-vpn/,,2025-08-27 10:56:27,cnet.com,
Best Laptops for 2025,https://www.cnet.com/tech/computing/best-laptop/,,2025-08-27 10:56:27,cnet.com,
These Are the Best TVs in 2025,https://www.cnet.com/tech/home-entertainment/best-tv/,,2025-08-27 10:56:27,cnet.com,
Best Mattresses You Can Buy in 2025,https://www.cnet.com/health/sleep/best-mattresses/,,2025-08-27 10:56:27,cnet.com,
Best Meal Delivery Services of 2025,https://www.cnet.com/health/nutrition/best-meal-kit-delivery-service/,,2025-08-27 10:56:27,cnet.com,
Coupons,https://www.techradar.com/coupons,"Sign up for breaking news, reviews, opinion, top tech deals, and more.",2025-08-27 10:56:32,techradar.com,
More about how we test,https://www.techradar.com/news/how-we-test,You need to know that the device or service you’re about to spend money on works as advertised - and that it works in the real world.,2025-08-27 10:56:32,techradar.com,
Meet the TechRadar team,https://www.techradar.com/how-to/contact-us,"The TechRadar team has a life-long passion for the latest innovations – over 300 years of experience between us, in fact – and we’ve made it our mission to share that combined knowledge and expertise ...",2025-08-27 10:56:32,techradar.com,
